,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Geraldton,AU,-28.7667,114.6,93.2,24,3,19.57,clear sky
1,Hasaki,JP,35.7333,140.8333,41.0,87,75,6.91,broken clouds
2,Dunedin,NZ,-45.8742,170.5036,68.52,66,60,8.23,broken clouds
3,Bathsheba,BB,13.2167,-59.5167,78.8,78,75,17.27,broken clouds
4,Albany,US,42.6001,-73.9662,36.0,73,100,0.85,overcast clouds
5,Lebu,CL,-37.6167,-73.65,55.11,83,0,2.77,clear sky
6,Jablah,SY,35.3614,35.9256,64.4,48,40,13.8,scattered clouds
7,Macia,MZ,-25.0269,33.0989,73.65,96,2,1.92,light rain
8,Rikitea,PF,-23.1203,-134.9692,78.1,73,66,10.42,broken clouds
9,Kruisfontein,ZA,-34.0033,24.7314,71.01,90,3,1.99,clear sky
10,Saint-Augustin,CA,51.226,-58.6502,26.49,96,100,3.69,overcast clouds
11,Ancud,CL,-41.8697,-73.8203,51.8,93,20,12.66,light rain
12,Jamestown,US,42.097,-79.2353,34.0,86,1,6.91,clear sky
13,Punta Arenas,CL,-53.15,-70.9167,55.4,71,20,11.5,few clouds
14,Hilo,US,19.7297,-155.09,82.4,57,20,10.36,few clouds
15,Comodoro Rivadavia,AR,-45.8667,-67.5,73.4,38,0,6.91,clear sky
16,Hermanus,ZA,-34.4187,19.2345,66.99,76,0,17.0,clear sky
17,Nsanje,MW,-16.92,35.262,74.12,95,100,1.57,overcast clouds
18,Novomykolayivka,UA,47.9781,35.9102,23.4,97,100,1.25,overcast clouds
19,Port Alfred,ZA,-33.5906,26.891,74.84,87,100,18.3,overcast clouds
20,Bethel,US,41.3712,-73.414,36.0,80,90,3.51,overcast clouds
21,Vega de Alatorre,MX,20.0333,-96.6333,68.81,84,100,9.71,overcast clouds
22,Itarema,BR,-2.9248,-39.9167,78.49,79,68,11.86,broken clouds
23,Norman Wells,CA,65.282,-126.8329,-9.4,84,20,4.61,few clouds
24,Mossamedes,AO,-15.1961,12.1522,71.58,72,87,2.82,overcast clouds
25,Port Blair,IN,11.6667,92.75,77.92,77,99,10.42,overcast clouds
26,Cape Town,ZA,-33.9258,18.4232,69.01,77,75,16.11,broken clouds
27,Tecalitlán,MX,19.4667,-103.3,73.4,53,90,2.91,overcast clouds
28,Chunskiy,RU,56.0815,99.6342,1.72,91,100,15.75,light snow
29,Ouésso,CG,1.6136,16.0517,72.41,81,3,2.55,clear sky
30,Paamiut,GL,61.994,-49.6678,22.71,88,93,10.76,overcast clouds
31,Genhe,CN,50.7833,121.5167,-23.85,84,1,2.04,clear sky
32,Sonkovo,RU,57.7782,37.1571,-6.23,92,100,7.52,light snow
33,Port Hardy,CA,50.6996,-127.4199,46.4,66,75,37.98,light rain
34,Busselton,AU,-33.65,115.3333,66.99,64,0,5.01,clear sky
35,Qaqortoq,GL,60.7167,-46.0333,19.62,92,100,5.95,overcast clouds
36,Nikolskoye,RU,59.7035,30.7861,8.01,85,75,5.7,light snow
37,Aljezur,PT,37.3191,-8.8033,51.73,86,85,11.48,overcast clouds
38,Saskylakh,RU,71.9167,114.0833,-46.73,77,41,1.39,scattered clouds
39,Touros,BR,-5.1989,-35.4608,78.8,78,20,11.5,few clouds
40,Morón,AR,-34.6534,-58.6198,78.01,72,0,5.99,clear sky
41,Camaná,PE,-16.6228,-72.7111,70.45,76,100,5.55,overcast clouds
42,Ribeira Grande,PT,38.5167,-28.7,63.09,85,100,30.47,overcast clouds
43,Hagerstown,US,39.6418,-77.72,42.8,56,1,6.91,clear sky
44,Dikson,RU,73.5069,80.5464,-29.22,79,17,5.77,few clouds
45,Whitehorse,CA,60.7161,-135.0538,23.0,80,90,11.5,light snow
46,Tuatapere,NZ,-46.1333,167.6833,73.0,64,16,3.0,few clouds
47,Saldanha,ZA,-33.0117,17.9442,64.4,94,100,9.22,overcast clouds
48,Verkhnyaya Balkariya,RU,43.1279,43.4573,37.4,100,90,4.47,fog
49,Evinayong,GQ,1.4368,10.5512,66.51,99,89,2.48,overcast clouds
50,Tabou,CI,4.423,-7.3528,78.42,85,0,6.96,clear sky
51,Middelburg,ZA,-25.7751,29.4648,62.29,85,89,3.09,overcast clouds
52,Sibsāgar,IN,26.9833,94.6333,55.4,100,90,1.5,fog
53,Zhongxing,CN,33.7039,118.6792,44.22,70,32,11.59,scattered clouds
54,Saint Paul Harbor,US,57.79,-152.4072,39.2,93,90,19.57,light rain
55,Katsuura,JP,35.1333,140.3,48.99,65,75,11.5,light rain
56,Beipiao,CN,41.7919,120.7792,5.95,85,100,22.1,overcast clouds
57,Chichimila,MX,20.6167,-88.2167,68.63,92,100,3.31,overcast clouds
58,Qaanaaq,GL,77.484,-69.3632,8.08,76,92,4.34,overcast clouds
59,Tuktoyaktuk,CA,69.4541,-133.0374,-7.6,77,90,6.91,overcast clouds
60,Bredasdorp,ZA,-34.5322,20.0403,68.0,94,32,3.44,scattered clouds
61,Verkh-Usugli,RU,52.7,115.1667,-19.21,84,0,2.73,clear sky
62,Manicoré,BR,-5.8092,-61.3003,74.8,98,100,1.03,moderate rain
63,Marzuq,YE,14.4,46.4667,52.59,50,0,0.94,clear sky
64,Cuamba,MZ,-14.8031,36.5372,70.3,95,99,1.21,light rain
65,Atar,MR,20.5169,-13.0499,61.27,28,100,13.58,overcast clouds
66,Hobart,AU,-42.8794,147.3294,55.99,76,75,8.05,broken clouds
67,Samarai,PG,-10.6167,150.6667,82.31,80,100,12.59,overcast clouds
68,Vaini,TO,-21.2,-175.2,84.2,79,20,11.5,few clouds
69,New Norfolk,AU,-42.7826,147.0587,55.99,81,100,1.01,light rain
70,Severo-Kuril'sk,RU,50.6789,156.125,25.48,93,100,20.22,light snow
71,Nizwá,OM,22.9333,57.5333,51.24,66,0,1.74,clear sky
72,Fairbanks,US,64.8378,-147.7164,10.99,84,40,4.61,scattered clouds
73,Springbok,ZA,-29.6643,17.8865,58.71,79,42,4.83,scattered clouds
74,Faanui,PF,-16.4833,-151.75,81.77,74,1,15.12,clear sky
75,Butaritari,KI,3.0707,172.7902,81.34,76,75,19.84,broken clouds
76,Ust-Nera,RU,64.5667,143.2,-24.72,76,100,3.67,overcast clouds
77,Kahului,US,20.8947,-156.47,86.0,48,20,12.66,few clouds
78,Mezen',RU,65.8522,44.24,-17.18,86,0,2.42,clear sky
79,Marabu,MY,4.4148,114.0089,77.0,94,40,5.75,scattered clouds
80,Half Moon Bay,US,37.4636,-122.4286,66.2,88,1,16.11,haze
